Mach,alpha_deg,delta_deg,Cnd,Cmd
0.3,0.0,0.0,0.0,0.0
0.3,2.0,0.0,0.0,0.0
0.3,4.0,0.0,0.0,0.0
0.3,8.0,0.0,0.0,0.0
0.3,12.0,0.0,0.0,0.0
0.3,16.0,0.0,0.0,0.0
0.3,20.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,2.0,0.0,0.0,0.0
0.5,4.0,0.0,0.0,0.0
0.5,8.0,0.0,0.0,0.0
0.5,12.0,0.0,0.0,0.0
0.5,16.0,0.0,0.0,0.0
0.5,20.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,2.0,0.0,0.0,0.0
0.8,4.0,0.0,0.0,0.0
0.8,8.0,0.0,0.0,0.0
0.8,12.0,0.0,0.0,0.0
0.8,16.0,0.0,0.0,0.0
0.8,20.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0
1.2,2.0,0.0,0.0,0.0
1.2,4.0,0.0,0.0,0.0
1.2,8.0,0.0,0.0,0.0
1.2,12.0,0.0,0.0,0.0
1.2,16.0,0.0,0.0,0.0
1.2,20.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0
2.0,4.0,0.0,0.0,0.0
2.0,8.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0,0.0
3.0,4.0,0.0,0.0,0.0
3.0,8.0,0.0,0.0,0.0
3.0,12.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.0,2.0,0.0,0.0,0.0
5.0,4.0,0.0,0.0,0.0
5.0,8.0,0.0,0.0,0.0
5.0,12.0,0.0,0.0,0.0
5.0,16.0,0.0,0.0,0.0
5.0,20.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.0,2.0,0.0,0.0,0.0
7.0,4.0,0.0,0.0,0.0
7.0,8.0,0.0,0.0,0.0
7.0,12.0,0.0,0.0,0.0
7.0,16.0,0.0,0.0,0.0
7.0,20.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0,0.0
9.0,4.0,0.0,0.0,0.0
9.0,8.0,0.0,0.0,0.0
9.0,12.0,0.0,0.0,0.0
9.0,16.0,0.0,0.0,0.0
9.0,20.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0,0.0
11.0,4.0,0.0,0.0,0.0
11.0,8.0,0.0,0.0,0.0
11.0,12.0,0.0,0.0,0.0
11.0,16.0,0.0,0.0,0.0
11.0,20.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
13.0,2.0,0.0,0.0,0.0
13.0,4.0,0.0,0.0,0.0
13.0,8.0,0.0,0.0,0.0
13.0,12.0,0.0,0.0,0.0
13.0,16.0,0.0,0.0,0.0
13.0,20.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
15.0,2.0,0.0,0.0,0.0
15.0,4.0,0.0,0.0,0.0
15.0,8.0,0.0,0.0,0.0
15.0,12.0,0.0,0.0,0.0
15.0,16.0,0.0,0.0,0.0
15.0,20.0,0.0,0.0,0.0
0.3,0.0,2.0,2.291831180523293,-2.807493196141034
0.3,2.0,2.0,2.3204790702798337,-2.864788975654116
0.3,4.0,2.0,2.349126960036374,-2.8934368654106573
0.3,8.0,2.0,2.320479070279833,-2.8361410858975744
0.3,12.0,2.0,1.9194086136882595,-2.377774849792917
0.3,16.0,2.0,1.518338157096686,-1.862112834175174
0.3,20.0,2.0,1.3178029288008946,-1.575633936609762
0.5,0.0,2.0,2.3491269600363753,-2.8934368654106573
0.5,2.0,2.0,2.377774849792916,-2.9220847551671985
