Mach,alpha_deg,def_roll,Cll
0.3,0.0,0.0,0.0
0.3,2.0,0.0,0.0
0.3,4.0,0.0,0.0
0.3,8.0,0.0,0.0
0.3,12.0,0.0,0.0
0.3,16.0,0.0,0.0
0.3,20.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,2.0,0.0,0.0
0.5,4.0,0.0,0.0
0.5,8.0,0.0,0.0
0.5,12.0,0.0,0.0
0.5,16.0,0.0,0.0
0.5,20.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,2.0,0.0,0.0
0.8,4.0,0.0,0.0
0.8,8.0,0.0,0.0
0.8,12.0,0.0,0.0
0.8,16.0,0.0,0.0
0.8,20.0,0.0,0.0
1.2,0.0,0.0,0.0
1.2,2.0,0.0,0.0
1.2,4.0,0.0,0.0
1.2,8.0,0.0,0.0
1.2,12.0,0.0,0.0
1.2,16.0,0.0,0.0
1.2,20.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0
2.0,4.0,0.0,0.0
2.0,8.0,0.0,0.0
2.0,12.0,0.0,0.0
2.0,16.0,0.0,0.0
2.0,20.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0
3.0,4.0,0.0,0.0
3.0,8.0,0.0,0.0
3.0,12.0,0.0,0.0
3.0,16.0,0.0,0.0
3.0,20.0,0.0,0.0
5.0,0.0,0.0,0.0
5.0,2.0,0.0,0.0
5.0,4.0,0.0,0.0
5.0,8.0,0.0,0.0
5.0,12.0,0.0,0.0
5.0,16.0,0.0,0.0
5.0,20.0,0.0,0.0
7.0,0.0,0.0,0.0
7.0,2.0,0.0,0.0
7.0,4.0,0.0,0.0
7.0,8.0,0.0,0.0
7.0,12.0,0.0,0.0
7.0,16.0,0.0,0.0
7.0,20.0,0.0,0.0
9.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0
9.0,4.0,0.0,0.0
9.0,8.0,0.0,0.0
9.0,12.0,0.0,0.0
9.0,16.0,0.0,0.0
9.0,20.0,0.0,0.0
11.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0
11.0,4.0,0.0,0.0
11.0,8.0,0.0,0.0
11.0,12.0,0.0,0.0
11.0,16.0,0.0,0.0
11.0,20.0,0.0,0.0
13.0,0.0,0.0,0.0
13.0,2.0,0.0,0.0
13.0,4.0,0.0,0.0
13.0,8.0,0.0,0.0
13.0,12.0,0.0,0.0
13.0,16.0,0.0,0.0
13.0,20.0,0.0,0.0
15.0,0.0,0.0,0.0
15.0,2.0,0.0,0.0
15.0,4.0,0.0,0.0
15.0,8.0,0.0,0.0
15.0,12.0,0.0,0.0
15.0,16.0,0.0,0.0
15.0,20.0,0.0,0.0
0.3,0.0,5.0,-0.097
0.3,2.0,5.0,-0.097
0.3,4.0,5.0,-0.097
0.3,8.0,5.0,-0.094
0.3,12.0,5.0,-0.082
0.3,16.0,5.0,-0.067
0.3,20.0,5.0,-0.051
0.5,0.0,5.0,-0.1
0.5,2.0,5.0,-0.1
0.5,4.0,5.0,-0.1
0.5,8.0,5.0,-0.095
0.5,12.0,5.0,-0.081
0.5,16.0,5.0,-0.064
0.5,20.0,5.0,-0.049
0.8,0.0,5.0,-0.106
0.8,2.0,5.0,-0.106
0.8,4.0,5.0,-0.107
0.8,8.0,5.0,-0.103
0.8,12.0,5.0,-0.091
0.8,16.0,5.0,-0.076
0.8,20.0,5.0,-0.064
1.2,0.0,5.0,-0.158
1.2,2.0,5.0,-0.158
1.2,4.0,5.0,-0.159
1.2,8.0,5.0,-0.156
1.2,12.0,5.0,-0.149
1.2,16.0,5.0,-0.141
1.2,20.0,5.0,-0.133
2.0,0.0,5.0,-0.084
2.0,2.0,5.0,-0.085
2.0,4.0,5.0,-0.086
2.0,8.0,5.0,-0.088
2.0,12.0,5.0,-0.087
2.0,16.0,5.0,-0.086
2.0,20.0,5.0,-0.083
3.0,0.0,5.0,-0.054
3.0,2.0,5.0,-0.055
3.0,4.0,5.0,-0.055
3.0,8.0,5.0,-0.058
3.0,12.0,5.0,-0.059
3.0,16.0,5.0,-0.059
3.0,20.0,5.0,-0.058
5.0,0.0,5.0,-0.031
5.0,2.0,5.0,-0.032
5.0,4.0,5.0,-0.033
5.0,8.0,5.0,-0.038
5.0,12.0,5.0,-0.042
5.0,16.0,5.0,-0.045
5.0,20.0,5.0,-0.046
7.0,0.0,5.0,-0.022
7.0,2.0,5.0,-0.023
7.0,4.0,5.0,-0.025
7.0,8.0,5.0,-0.032
7.0,12.0,5.0,-0.038
7.0,16.0,5.0,-0.042
7.0,20.0,5.0,-0.045
9.0,0.0,5.0,-0.018
9.0,2.0,5.0,-0.019
9.0,4.0,5.0,-0.021
9.0,8.0,5.0,-0.029
9.0,12.0,5.0,-0.035
9.0,16.0,5.0,-0.041
9.0,20.0,5.0,-0.039
11.0,0.0,5.0,-0.015
11.0,2.0,5.0,-0.016
11.0,4.0,5.0,-0.019
11.0,8.0,5.0,-0.028
11.0,12.0,5.0,-0.031
11.0,16.0,5.0,-0.035
11.0,20.0,5.0,-0.04
13.0,0.0,5.0,-0.013
13.0,2.0,5.0,-0.013
13.0,4.0,5.0,-0.015
13.0,8.0,5.0,-0.022
13.0,12.0,5.0,-0.029
13.0,16.0,5.0,-0.035
13.0,20.0,5.0,-0.039
15.0,0.0,5.0,-0.011
15.0,2.0,5.0,-0.012
