time ,thrust [N],mdot [kg]
0,2422.082,1.05205147324015
0.0008333,3892.982,1.690949129054
0.0016666,6109.138,2.65355493048021
0.0024999,9962.896,4.32746678871251
0.0033332,17199.724,7.47084325531668
0.0041665,33791.476,14.677608812897
0.0049998,46755.008,20.3084268194697
0.0058331,42067.74,18.2724729562762
0.0066664,39939.838,17.3482010141989
0.0074997,39665.27,17.228940118447
0.008333,40420.332,17.5569075817647
0.0091663,42136.382,18.3022881802142
0.0099996,44950.704,19.5247123616714
0.0108329,48794.656,21.1943649021983
0.0116662,53442.7,23.2132814945701
0.0124995,58365.312,25.3514589826938
0.0133328,62758.4,27.2596333147245
0.0141661,53442.7,23.2132814945701
0.0149994,58365.312,25.3514589826938
0.0158327,62758.4,27.2596333147245
0.016666,59365.524,25.7859093886472
0.0174993,53432.894,23.2090221768646
0.0183326,46755.008,20.3084268194697
0.0191659,42067.74,18.2724729562762
0.0199992,39939.838,17.3482010141989
0.0208325,39665.27,17.228940118447
0.0216658,40420.332,17.5569075817647
0.0224991,42136.382,18.3022881802142
0.0233324,44950.704,19.5247123616714
0.0241657,48794.656,21.1943649021983
0.024999,53442.7,23.2132814945701
0.0258323,58365.312,25.3514589826938
0.0266656,62758.4,27.2596333147245
0.0274989,48010.176,20.8536194857642
0.0283322,47735.608,20.7343585900123
0.0291655,48255.326,20.9601024283999
0.0299988,49490.882,21.4967764592835
0.0308321,51157.902,22.2208604692059
0.0316654,52981.818,23.013093562415
0.0324987,54835.152,23.8181046087405
0.033332,56727.71,24.6401529258877
0.0341653,55933.424,24.2951481917482
0.0349986,52932.788,22.9917969738879
0.0358319,50638.184,21.9951166308183
0.0366652,49000.582,21.2838105740122
0.0374985,48010.176,20.8536194857642
0.0383318,47735.608,20.7343585900123
0.0391651,48255.326,20.9601024283999
0.0399984,49490.882,21.4967764592835
0.0408317,51157.902,22.2208604692059
0.041665,52981.818,23.013093562415
0.0424983,54835.152,23.8181046087405
0.0433316,56727.71,24.6401529258877
0.0441649,58443.76,25.3855335243372
0.0449982,59816.6,25.9818380030968
0.0458315,60669.722,26.3523986434688
0.0466648,60885.454,26.4461036329882
0.0474981,60453.99,26.2586936539494
0.0483314,59365.524,25.7859093886472
0.0491647,57914.236,25.1555303682442
0.049998,56413.918,24.503854759314
0.0508313,55050.884,23.9118095982599
0.0516646,53707.462,23.3282830726165
0.0524979,52413.07,22.7660531355004
0.0533312,51304.992,22.2847502347873
0.0541645,50491.094,21.9312268652369
0.0549978,50245.944,21.8247439226013
0.0558311,50481.288,21.9269675475315
0.0566644,51040.23,22.1697486567408
0.0574977,51795.292,22.4977161200585
0.058331,52618.996,22.8554988073143
0.0591643,53383.864,23.1877255883375
0.0599976,54050.672,23.4773591923064
0.0608309,54658.644,23.7414368900428
0.0616642,55207.78,23.9799586815467
0.0624975,55707.886,24.1971838845234
0.0633308,55904.006,24.2823702386319
0.0641641,55756.916,24.2184804730505
0.0649974,55315.646,24.0268111763064
0.0658307,54590.002,23.7116216661049
0.066664,53756.492,23.3495796611437
0.0674973,53030.848,23.0343901509422
0.0683306,52795.504,22.932166526012
0.0691639,52942.594,22.9960562915933
0.0699972,52981.818,23.013093562415
0.0708305,52795.504,22.932166526012
0.0716638,52344.428,22.7362379115624
0.0724971,51834.516,22.5147533908802
0.0733304,51559.948,22.3954924951283
0.0741637,51579.56,22.4040111305392
0.074997,51873.74,22.5317906617019
0.0758303,52197.338,22.672348145981
0.0766636,52295.398,22.7149413230353
0.0774969,52285.592,22.7106820053298
0.0783302,52197.338,22.672348145981
0.0791635,52275.786,22.7064226876244
0.0799968,52530.742,22.8171649479655
0.0808301,52648.414,22.8682767604306
0.0816634,52658.22,22.872536078136
0.0824967,52677.832,22.8810547135469
0.08333,52550.354,22.8256835833763
0.0841633,52246.368,22.6936447345081
0.0849966,52020.83,22.5956804272833
0.0858299,51932.576,22.5573465679345
0.0866632,51961.994,22.5701245210508
0.0874965,51952.188,22.5658652033453
0.0883298,51854.128,22.5232720262911
0.0891631,51736.456,22.472160213826
0.0899964,51550.142,22.3912331774229
0.0908297,51285.38,22.2762315993764
0.091663,51138.29,22.212341833795
0.0924963,51177.514,22.2293791046167
0.0933296,51354.022,22.3060468233144
0.0941629,51550.142,22.3912331774229
0.0949962,51648.202,22.4338263544772
0.0958295,51667.814,22.442344989888
0.0966628,51559.948,22.3954924951283
0.0974961,51491.306,22.3656772711903
0.0983294,51471.694,22.3571586357795
0.0991627,51491.306,22.3656772711903
0.099996,51589.366,22.4082704482446
0.1008293,51658.008,22.4380856721826
0.1016626,51579.56,22.4040111305392
0.1024959,51412.858,22.3316027295469
0.1033292,51246.156,22.2591943285547
0.1041625,51226.544,22.2506756931438
0.1049958,51324.604,22.2932688701981
0.1058291,51442.276,22.3443806826632
0.1066624,51491.306,22.3656772711903
0.1074957,51412.858,22.3316027295469
0.108329,51226.544,22.2506756931438
0.1091623,51020.618,22.1612300213299
0.1099956,50932.364,22.1228961619811
0.1108289,50961.782,22.1356741150974
0.1116622,51128.484,22.2080825160896
0.1124955,51255.962,22.2634536462601
0.1133288,51304.992,22.2847502347873
0.1141621,51255.962,22.2634536462601
0.1149954,51079.454,22.1867859275625
0.1158287,50981.394,22.1441927505082
0.116662,51020.618,22.1612300213299
0.1174953,51148.096,22.2166011515004
0.1183286,51314.798,22.2890095524927
0.1191619,51432.47,22.3401213649578
0.1199952,51354.022,22.3060468233144
0.1208285,51148.096,22.2166011515004
0.1216618,50932.364,22.1228961619811
0.1224951,50873.528,22.0973402557485
0.1233284,51030.424,22.1654893390353
0.1241617,51275.574,22.271972281671
0.124995,51461.888,22.3528993180741
0.1258283,51501.112,22.3699365888958
0.1266616,51403.052,22.3273434118415
0.1274949,51236.35,22.2549350108493
0.1283282,51167.708,22.2251197869113
0.1291615,51275.574,22.271972281671
0.1299948,51550.142,22.3912331774229
0.1308281,51765.874,22.4849381669423
0.1316614,51805.098,22.501975437764
0.1324947,51677.62,22.4466043075934
0.133328,51481.5,22.3614179534849
0.1341613,51304.992,22.2847502347873
0.1349946,51295.186,22.2804909170818
0.1358279,51452.082,22.3486400003686
0.1366612,51638.396,22.4295670367717
0.1374945,51697.232,22.4551229430043
0.1383278,51579.56,22.4040111305392
0.1391611,51324.604,22.2932688701981
0.1399944,51099.066,22.1953045629733
0.1408277,50991.2,22.1484520682136
0.141661,51099.066,22.1953045629733
0.1424943,51314.798,22.2890095524927
0.1433276,51481.5,22.3614179534849
0.1441609,51452.082,22.3486400003686
0.1449942,51295.186,22.2804909170818
0.1458275,51157.902,22.2208604692059
0.1466608,51197.126,22.2378977400276
0.1474941,51412.858,22.3316027295469
0.1483274,51697.232,22.4551229430043
0.1491607,51952.188,22.5658652033453
0.149994,51952.188,22.5658652033453
0.1508273,51746.262,22.4764195315314
0.1516606,51481.5,22.3614179534849
0.1524939,51295.186,22.2804909170818
0.1533272,51265.768,22.2677129639656
