Mach,alpha_deg,cp_x_m
0.3,0,4.09
0.5,0,4.09
0.8,0,4.09
1.2,0,4.09
2,0,4.09
3,0,4.09
5,0,4.09
7,0,4.09
9,0,4.09
11,0,4.09
0.3,2,5.1317
0.5,2,5.45641
0.8,2,5.54916
1.2,2,5.52818
2,2,4.59393
3,2,4.1113
5,2,4.20415
7,2,4.42262
9,2,4.57746
11,2,4.54411
0.3,4,5.38552
0.5,4,5.38501
0.8,4,5.5176
1.2,4,5.47669
2,4,4.54569
3,4,4.06469
5,4,4.12289
7,4,4.22422
9,4,4.25003
11,4,4.21842
0.3,8,5.26247
0.5,8,5.3206
0.8,8,5.49847
1.2,8,5.36679
2,8,4.44163
3,8,4.06034
5,8,4.11707
7,8,4.15369
9,8,4.17755
11,8,4.205
0.3,12,5.19136
0.5,12,5.25673
0.8,12,5.41664
1.2,12,5.23732
2,12,4.22042
3,12,4.04224
5,12,4.12766
7,12,4.22262
9,12,4.308
11,12,4.382
0.3,16,5.11594
0.5,16,5.15
0.8,16,5.295
1.2,16,5.094
2,16,4.147
3,16,4.08
5,16,4.214
7,16,4.317
9,16,4.388
11,16,4.432
