Mach,alpha_deg,Cd,Cn,Cm
0.3,-16,0.86763,-2.02491,3.462384
0.3,-12,0.64599,-1.55292,2.850528
0.3,-8,0.51114,-1.05108,2.053942
0.3,-4,0.42339,-0.55423,1.196692
0.3,-2,0.12229,-0.27048,0.469602
0.3,0,0.100,0,0.000
0.3,2,0.12229,0.27048,-0.469602
0.3,4,0.42339,0.55423,-1.196692
0.3,8,0.51114,1.05108,-2.053942
0.3,12,0.64599,1.55292,-2.850528
0.3,16,0.86763,2.02491,-3.462384
0.5,-16,0.89479,-2.07544,3.666256
0.5,-12,0.66689,-1.61725,3.14483
0.5,-8,0.50761,-1.08921,2.233974
0.5,-4,0.41344,-0.55374,1.195166
0.5,-2,0.38676,-0.28909,0.658346
0.5,0,0.350,0,0.000
0.5,2,0.38676,0.28909,-0.658346
0.5,4,0.41344,0.55374,-1.195166
0.5,8,0.50761,1.08921,-2.233974
0.5,12,0.66689,1.61725,-3.14483
0.5,16,0.89479,2.07544,-3.666256
0.8,-16,1.03071,-2.34189,4.703776
0.8,-12,0.76218,-1.82702,4.039678
0.8,-8,0.56142,-1.23806,2.906294
0.8,-4,0.44883,-0.60744,1.445306
0.8,-2,0.4236,-0.30852,0.750298
0.8,0,0.401,0,0.000
0.8,2,0.4236,0.30852,-0.750298
0.8,4,0.44883,0.60744,-1.445306
0.8,8,0.56142,1.23806,-2.906294
0.8,12,0.76218,1.82702,-4.039678
0.8,16,1.03071,2.34189,-4.703776
1.2,-16,1.36021,-2.34939,3.929816
1.2,-12,1.09652,-1.74241,3.331824
1.2,-8,0.89875,-1.16695,2.48325
1.2,-4,0.78184,-0.5966,1.37884
1.2,-2,0.74973,-0.30633,0.734262
1.2,0,0.205,0,0.000
1.2,2,0.74973,0.30633,-0.734262
1.2,4,0.78184,0.5966,-1.37884
1.2,8,0.89875,1.16695,-2.48325
1.2,12,1.09652,1.74241,-3.331824
1.2,16,1.36021,2.34939,-3.929816
2,-16,1.22674,-2.51707,0.240328
2,-12,0.8442,-1.46741,0.318974
2,-8,0.65882,-0.8728,0.5115
2,-4,0.57698,-0.40534,0.307856
2,-2,0.55941,-0.20097,0.168788
2,0,0.359,0,0.000
2,2,0.55941,0.20097,-0.168788
2,4,0.57698,0.40534,-0.307856
2,8,0.65882,0.8728,-0.5115
2,12,0.8442,1.46741,-0.318974
2,16,1.22674,2.51707,-0.240328
3,-16,1.13394,-2.63168,-0.042118
3,-12,0.75547,-1.68059,-0.133764
3,-8,0.50656,-0.89323,-0.044158
3,-4,0.42431,-0.37029,-0.015614
3,-2,0.4096,-0.17985,0.00638
3,0,0.385,0,0.000
3,2,0.4096,0.17985,-0.00638
3,4,0.42431,0.37029,0.015614
3,8,0.50656,0.89323,0.044158
3,12,0.75547,1.68059,0.133764
3,16,1.13394,2.63168,0.042118
5,-16,0.99176,-2.3768,0.49184
5,-12,0.62616,-1.5828,0.09934
5,-8,0.39333,-0.92693,0.041822
5,-4,0.29088,-0.3845,0.02108
5,-2,0.27256,-0.18358,0.034922
5,0,0.258,0,0.000
5,2,0.27256,0.18358,-0.034922
5,4,0.29088,0.3845,-0.02108
5,8,0.39333,0.92693,-0.041822
5,12,0.62616,1.5828,-0.09934
5,16,0.99176,2.3768,-0.49184
7,-16,0.95525,-2.21881,0.838724
7,-12,0.58265,-1.45567,0.321748
7,-8,0.34726,-0.84913,0.090142
7,-4,0.23695,-0.37061,0.082904
7,-2,0.20871,-0.18091,0.100294
7,0,0.180,0,0.000
7,2,0.20871,0.18091,-0.100294
7,4,0.23695,0.37061,-0.082904
7,8,0.34726,0.84913,-0.090142
7,12,0.58265,1.45567,-0.321748
7,16,0.95525,2.21881,-0.838724
9,-16,0.9502,-2.14645,1.06698
9,-12,0.57457,-1.39047,0.505208
9,-8,0.32766,-0.78495,0.11453
9,-4,0.20651,-0.34286,0.091444
9,-2,0.16944,-0.17352,0.140968
9,0,0.144,0,0.000
9,2,0.16944,0.17352,-0.140968
9,4,0.20651,0.34286,-0.091444
9,8,0.32766,0.78495,-0.11453
9,12,0.57457,1.39047,-0.505208
9,16,0.9502,2.14645,-1.06698
11,-16,0.95516,-2.10835,1.20016
11,-12,0.57988,-1.36318,0.662732
11,-8,0.32051,-0.74824,0.142876
11,-4,0.18648,-0.31784,0.068026
11,-2,0.14378,-0.15576,0.117884
11,0,0.121,0,0.000
11,2,0.14378,0.15576,-0.117884
11,4,0.18648,0.31784,-0.068026
11,8,0.32051,0.74824,-0.142876
11,12,0.57988,1.36318,-0.662732
11,16,0.95516,2.10835,-1.20016
