Mach,alpha_deg,Reynolds,CA
0.3,0,3.00E+04,0.536
0.3,0,5.00E+04,0.536
0.3,0,1.00E+05,0.365
0.3,0,1.00E+06,0.28
0.3,0,1.00E+07,0.25
0.3,0,50000000,0.25
0.3,0,5.00E+08,0.25
0.3,2,3.00E+04,0.536
0.3,2,5.00E+04,0.536
0.3,2,1.00E+05,0.365
0.3,2,1.00E+06,0.28
0.3,2,1.00E+07,0.25
0.3,2,50000000,0.25
0.3,2,5.00E+08,0.25
0.3,4,3.00E+04,0.535
0.3,4,5.00E+04,0.535
0.3,4,1.00E+05,0.365
0.3,4,1.00E+06,0.28
0.3,4,1.00E+07,0.25
0.3,4,50000000,0.25
0.3,4,5.00E+08,0.25
0.3,8,3.00E+04,0.533
0.3,8,5.00E+04,0.533
0.3,8,1.00E+05,0.363
0.3,8,1.00E+06,0.279
0.3,8,1.00E+07,0.249
0.3,8,50000000,0.249
0.3,8,5.00E+08,0.249
0.3,12,3.00E+04,0.527
0.3,12,5.00E+04,0.527
0.3,12,1.00E+05,0.359
0.3,12,1.00E+06,0.275
0.3,12,1.00E+07,0.246
0.3,12,50000000,0.246
0.3,12,5.00E+08,0.246
0.3,16,3.00E+04,0.514
0.3,16,5.00E+04,0.514
0.3,16,1.00E+05,0.348
0.3,16,1.00E+06,0.266
0.3,16,1.00E+07,0.237
0.3,16,50000000,0.237
0.3,16,5.00E+08,0.237
0.5,0,3.00E+04,0.537
0.5,0,5.00E+04,0.537
0.5,0,1.00E+05,0.537
0.5,0,1.00E+06,0.537
0.5,0,1.00E+07,0.537
0.5,0,50000000,0.249
0.5,0,5.00E+08,0.249
0.5,2,3.00E+04,0.537
0.5,2,5.00E+04,0.537
0.5,2,1.00E+05,0.537
0.5,2,1.00E+06,0.537
0.5,2,1.00E+07,0.537
0.5,2,50000000,0.25
0.5,2,5.00E+08,0.25
0.5,4,3.00E+04,0.537
0.5,4,5.00E+04,0.537
0.5,4,1.00E+05,0.537
0.5,4,1.00E+06,0.537
0.5,4,1.00E+07,0.537
0.5,4,50000000,0.25
0.5,4,5.00E+08,0.25
0.5,8,3.00E+04,0.534
0.5,8,5.00E+04,0.534
0.5,8,1.00E+05,0.534
0.5,8,1.00E+06,0.534
0.5,8,1.00E+07,0.534
0.5,8,50000000,0.249
0.5,8,5.00E+08,0.249
0.5,12,3.00E+04,0.528
0.5,12,5.00E+04,0.528
0.5,12,1.00E+05,0.528
0.5,12,1.00E+06,0.528
0.5,12,1.00E+07,0.528
0.5,12,50000000,0.245
0.5,12,5.00E+08,0.245
0.5,16,3.00E+04,0.515
0.5,16,5.00E+04,0.515
0.5,16,1.00E+05,0.515
0.5,16,1.00E+06,0.515
0.5,16,1.00E+07,0.515
0.5,16,50000000,0.236
0.5,16,5.00E+08,0.236
0.8,0,3.00E+04,0.566
0.8,0,5.00E+04,0.566
0.8,0,1.00E+05,0.566
0.8,0,1.00E+06,0.566
0.8,0,1.00E+07,0.566
0.8,0,50000000,0.271
0.8,0,5.00E+08,0.271
0.8,2,3.00E+04,0.567
0.8,2,5.00E+04,0.567
0.8,2,1.00E+05,0.567
0.8,2,1.00E+06,0.567
0.8,2,1.00E+07,0.567
0.8,2,50000000,0.271
0.8,2,5.00E+08,0.271
0.8,4,3.00E+04,0.566
0.8,4,5.00E+04,0.566
0.8,4,1.00E+05,0.566
0.8,4,1.00E+06,0.566
0.8,4,1.00E+07,0.566
0.8,4,50000000,0.271
0.8,4,5.00E+08,0.271
0.8,8,3.00E+04,0.563
0.8,8,5.00E+04,0.563
0.8,8,1.00E+05,0.563
0.8,8,1.00E+06,0.563
0.8,8,1.00E+07,0.563
0.8,8,50000000,0.27
0.8,8,5.00E+08,0.27
0.8,12,3.00E+04,0.557
0.8,12,5.00E+04,0.557
0.8,12,1.00E+05,0.557
0.8,12,1.00E+06,0.557
0.8,12,1.00E+07,0.557
0.8,12,50000000,0.266
0.8,12,5.00E+08,0.266
0.8,16,3.00E+04,0.544
0.8,16,5.00E+04,0.544
0.8,16,1.00E+05,0.544
0.8,16,1.00E+06,0.544
0.8,16,1.00E+07,0.544
0.8,16,50000000,0.256
0.8,16,5.00E+08,0.256
1.2,0,3.00E+04,1.018
1.2,0,5.00E+04,1.265
1.2,0,1.00E+05,1.265
1.2,0,1.00E+06,1.265
1.2,0,1.00E+07,1.265
1.2,0,50000000,1.018
1.2,0,5.00E+08,1.018
1.2,2,3.00E+04,1.018
1.2,2,5.00E+04,1.264
1.2,2,1.00E+05,1.264
1.2,2,1.00E+06,1.264
1.2,2,1.00E+07,1.264
1.2,2,50000000,1.018
1.2,2,5.00E+08,1.018
1.2,4,3.00E+04,1.018
1.2,4,5.00E+04,1.264
1.2,4,1.00E+05,1.264
1.2,4,1.00E+06,1.264
1.2,4,1.00E+07,1.264
1.2,4,50000000,1.018
