Mach,alpha_deg,Cmq,Cnq,Clp
0.3,0,-1.808,0.637,-0.067
0.3,2,-1.843,0.651,-0.067
0.3,4,-1.823,0.646,-0.068
0.3,8,-1.666,0.598,-0.068
0.3,12,-1.448,0.53,-0.061
0.3,16,-1.191,0.449,-0.049
0.5,0,-1.899,0.649,-0.07
0.5,2,-1.928,0.66,-0.07
0.5,4,-1.901,0.654,-0.071
0.5,8,-1.72,0.599,-0.07
0.5,12,-1.479,0.524,-0.062
0.5,16,-1.206,0.437,-0.049
0.8,0,-2.143,0.677,-0.075
0.8,2,-2.174,0.689,-0.075
0.8,4,-2.155,0.685,-0.076
0.8,8,-1.999,0.638,-0.075
0.8,12,-1.791,0.574,-0.068
0.8,16,-1.553,0.499,-0.056
1.2,0,-2.869,0.744,-0.089
1.2,2,-2.884,0.751,-0.089
1.2,4,-2.865,0.747,-0.09
1.2,8,-2.761,0.719,-0.088
1.2,12,-2.643,0.685,-0.084
1.2,16,-2.503,0.643,-0.077
2,0,-1.854,0.5,-0.046
2,2,-1.885,0.51,-0.047
2,4,-1.892,0.512,-0.049
2,8,-1.861,0.503,-0.05
2,12,-1.813,0.488,-0.049
2,16,-1.759,0.471,-0.048
3,0,-1.551,0.414,-0.032
3,2,-1.564,0.418,-0.033
3,4,-1.562,0.418,-0.034
3,8,-1.532,0.408,-0.034
3,12,-1.495,0.396,-0.034
3,16,-1.454,0.383,-0.033
5,0,-0.977,0.249,-0.019
5,2,-0.996,0.255,-0.019
5,4,-1.016,0.261,-0.02
5,8,-1.042,0.269,-0.022
5,12,-1.069,0.278,-0.023
5,16,-1.085,0.283,-0.025
7,0,-0.827,0.206,-0.013
7,2,-0.86,0.216,-0.014
7,4,-0.896,0.227,-0.015
7,8,-0.965,0.249,-0.018
7,12,-1.011,0.264,-0.021
7,16,-1.038,0.273,-0.023
9,0,-0.761,0.187,-0.01
9,2,-0.798,0.198,-0.011
9,4,-0.848,0.214,-0.013
9,8,-0.934,0.241,-0.016
9,12,-0.991,0.259,-0.02
9,16,-1.017,0.268,-0.022
11,0,-0.749,0.181,-0.008
11,2,-0.798,0.197,-0.009
11,4,-0.854,0.214,-0.011
11,8,-0.93,0.238,-0.016
11,12,-0.979,0.254,-0.02
11,16,-1.016,0.266,-0.016
