Mach,delta_deg,Ch_delta,Cb_delta,Ch_alpha,Cb_alpha
3,0,0,0,0.01,0.015
3,2,-0.004536082,0.057864511,0.01,0.015
3,4,-0.007121355,0.115192538,0.01,0.015
3,8,-0.008716344,0.227036286,0.01,0.015
3,12,-0.00862784,0.333677394,0.01,0.015
3,16,-0.009339544,0.43675606,0.01,0.015
3,20,-0.011615397,0.538460573,0.01,0.015
5,0,0,0,0.01,0.015
5,2,-0.006191388,0.039885359,0.012,0.018
5,4,-0.009941381,0.078741776,0.012,0.018
5,8,-0.013021432,0.160567556,0.012,0.018
5,12,-0.014907073,0.249590851,0.012,0.018
5,16,-0.020586192,0.345669349,0.012,0.018
5,20,-0.02544611,0.439251729,0.012,0.018
7,0,0,0,0.012,0.018
7,2,-0.005689062,0.061289207,0.012,0.018
7,4,-0.009493814,0.059343468,0.015,0.022
7,8,-0.012450859,0.121551232,0.015,0.022
7,12,-0.01555851,0.194947935,0.015,0.022
7,16,-0.021221122,0.284355713,0.015,0.022
7,20,-0.025934808,0.378806913,0.015,0.022
9,0,0,0,0.015,0.022
9,2,-0.003821108,0.022745725,0.015,0.022
9,4,-0.006343623,0.045661219,0.015,0.022
9,8,-0.008724328,0.095810159,0.018,0.027
9,12,-0.012166628,0.158486093,0.018,0.027
9,16,-0.0172164,0.235797539,0.018,0.027
9,20,-0.021155579,0.324654318,0.018,0.027
11,0,0,0,0.018,0.027
11,2,-0.001160804,0.018797817,0.018,0.027
11,4,-0.001710513,0.037577782,0.018,0.027
11,8,-0.001613692,0.08041844,0.018,0.027
11,12,-0.000759785,0.134484815,0.02,0.03
11,16,0.000470815,0.201241248,0.02,0.03
11,20,0.002692287,0.280900214,0.02,0.03
