Mach,delta_roll,alpha_deg,Cll
0.3,5,0,-0.21881
0.3,5,2,-0.21916
0.3,5,4,-0.22076
0.3,5,8,-0.2178
0.3,5,12,-0.17115
0.3,5,16,-0.14536
0.5,5,0,-0.22839
0.5,5,2,-0.22938
0.5,5,4,-0.23164
0.5,5,8,-0.22924
0.5,5,12,-0.16465
0.5,5,16,-0.14153
0.8,5,0,-0.27309
0.8,5,2,-0.27616
0.8,5,4,-0.2816
0.8,5,8,-0.24554
0.8,5,12,-0.1779
0.8,5,16,-0.10523
1.2,5,0,-0.27442
1.2,5,2,-0.27181
1.2,5,4,-0.26987
1.2,5,8,-0.2517
1.2,5,12,-0.21792
1.2,5,16,-0.18487
2,5,0,-0.14696
2,5,2,-0.147
2,5,4,-0.14703
2,5,8,-0.14698
2,5,12,-0.14246
2,5,16,-0.13567
3,5,0,-0.11187
3,5,2,-0.11206
3,5,4,-0.11148
3,5,8,-0.10573
3,5,12,-0.0969
3,5,16,-0.10154
5,5,0,-0.08112
5,5,2,-0.08125
5,5,4,-0.08192
5,5,8,-0.08065
5,5,12,-0.08755
5,5,16,-0.10382
7,5,0,-0.06411
7,5,2,-0.06432
7,5,4,-0.06733
7,5,8,-0.07264
7,5,12,-0.09244
7,5,16,-0.11411
9,5,0,-0.05101
9,5,2,-0.05284
9,5,4,-0.05896
9,5,8,-0.07271
9,5,12,-0.0969
9,5,16,-0.11219
11,5,0,-0.03728
11,5,2,-0.0435
11,5,4,-0.05302
11,5,8,-0.07351
11,5,12,-0.1023
11,5,16,-0.1103
0.3,10,0,-0.44995
0.3,10,2,-0.44851
0.3,10,4,-0.44187
0.3,10,8,-0.38973
0.3,10,12,-0.35711
0.3,10,16,-0.31098
0.5,10,0,-0.47013
0.5,10,2,-0.46181
0.5,10,4,-0.46247
0.5,10,8,-0.39652
0.5,10,12,-0.35672
0.5,10,16,-0.29202
0.8,10,0,-0.57117
0.8,10,2,-0.54516
0.8,10,4,-0.51897
0.8,10,8,-0.44331
0.8,10,12,-0.36624
0.8,10,16,-0.27349
1.2,10,0,-0.5412
1.2,10,2,-0.53329
1.2,10,4,-0.51333
1.2,10,8,-0.47449
1.2,10,12,-0.42401
1.2,10,16,-0.36759
2,10,0,-0.29178
2,10,2,-0.29191
2,10,4,-0.29169
2,10,8,-0.28888
2,10,12,-0.27904
2,10,16,-0.26675
3,10,0,-0.22104
3,10,2,-0.2211
3,10,4,-0.21999
3,10,8,-0.20823
3,10,12,-0.19256
3,10,16,-0.20311
5,10,0,-0.16658
5,10,2,-0.16596
5,10,4,-0.16523
5,10,8,-0.15932
5,10,12,-0.17248
5,10,16,-0.2045
7,10,0,-0.1352
7,10,2,-0.13459
7,10,4,-0.1392
7,10,8,-0.14747
7,10,12,-0.1847
7,10,16,-0.22404
9,10,0,-0.11077
9,10,2,-0.11195
9,10,4,-0.12365
9,10,8,-0.14926
9,10,12,-0.19534
9,10,16,-0.2186
11,10,0,-0.08348
11,10,2,-0.09316
11,10,4,-0.11204
11,10,8,-0.1524
11,10,12,-0.19699
11,10,16,-0.20801
0.3,15,0,-0.21883
0.3,15,2,-0.21922
0.3,15,4,-0.22091
0.3,15,8,-0.21746
0.3,15,12,-0.17116
0.3,15,16,-0.1453
0.5,15,0,-0.22834
0.5,15,2,-0.22939
0.5,15,4,-0.23152
0.5,15,8,-0.22918
0.5,15,12,-0.16456
0.5,15,16,-0.14209
0.8,15,0,-0.27308
0.8,15,2,-0.27611
0.8,15,4,-0.28168
0.8,15,8,-0.24563
0.8,15,12,-0.17774
0.8,15,16,-0.106
1.2,15,0,-0.27442
1.2,15,2,-0.27181
1.2,15,4,-0.26988
1.2,15,8,-0.25172
1.2,15,12,-0.21789
1.2,15,16,-0.18498
2,15,0,-0.14696
2,15,2,-0.147
2,15,4,-0.14706
2,15,8,-0.14679
2,15,12,-0.14255
2,15,16,-0.13593
3,15,0,-0.11186
3,15,2,-0.11206
3,15,4,-0.11149
3,15,8,-0.10575
3,15,12,-0.09691
3,15,16,-0.10158
5,15,0,-0.08116
5,15,2,-0.08125
5,15,4,-0.08194
5,15,8,-0.08068
5,15,12,-0.08754
5,15,16,-0.10381
7,15,0,-0.06413
7,15,2,-0.06433
7,15,4,-0.0675
7,15,8,-0.07264
7,15,12,-0.09242
7,15,16,-0.1141
9,15,0,-0.05097
9,15,2,-0.05285
9,15,4,-0.05931
9,15,8,-0.07276
9,15,12,-0.097
9,15,16,-0.11205
11,15,0,-0.03737
11,15,2,-0.04369
11,15,4,-0.05023
11,15,8,-0.07359
11,15,12,-0.09788
11,15,16,-0.10714
