Mach,alpha_deg,Cd,Cn,Cm
0.3,-20,0.7169,-1.453,1.296
0.3,-16,0.5663,-1.175,1.071
0.3,-12,0.4423,-0.9047,0.888
0.3,-8,0.3483,-0.5919,0.5609
0.3,-4,0.2976,-0.2896,0.2615
0.3,-2,0.2839,-0.1424,0.1226
0.3,0,0.275,0,0
0.3,2,0.2839,0.1424,-0.1226
0.3,4,0.2976,0.2896,-0.2615
0.3,8,0.3483,0.5919,-0.5609
0.3,12,0.4423,0.9047,-0.888
0.3,16,0.5663,1.175,-1.071
0.3,20,0.7169,1.453,-1.296
0.5,-20,0.7288,-1.489,1.345
0.5,-16,0.5713,-1.203,1.128
0.5,-12,0.4439,-0.9312,0.957
0.5,-8,0.347,-0.6108,0.6153
0.5,-4,0.2952,-0.2983,0.2875
0.5,-2,0.2816,-0.1467,0.1356
0.5,0,0.273,0,0
0.5,2,0.2816,0.1467,-0.1356
0.5,4,0.2952,0.2983,-0.2875
0.5,8,0.347,0.6108,-0.6153
0.5,12,0.4439,0.9312,-0.957
0.5,16,0.5713,1.203,-1.128
0.5,20,0.7288,1.489,-1.345
0.8,-20,0.8246,-1.655,1.623
0.8,-16,0.6415,-1.358,1.501
0.8,-12,0.4913,-1.036,1.241
0.8,-8,0.3836,-0.6788,0.813
0.8,-4,0.3276,-0.3279,0.3767
0.8,-2,0.3133,-0.1609,0.1787
0.8,0,0.305,0,0
0.8,2,0.3133,0.1609,-0.1787
0.8,4,0.3276,0.3279,-0.3767
0.8,8,0.3836,0.6788,-0.813
0.8,12,0.4913,1.036,-1.241
0.8,16,0.6415,1.358,-1.501
0.8,20,0.8246,1.655,-1.623
1.2,-20,1.089,-1.881,1.527
1.2,-16,0.8488,-1.421,1.322
1.2,-12,0.6846,-1.043,1.094
1.2,-8,0.5727,-0.6827,0.7628
1.2,-4,0.5086,-0.3313,0.3691
1.2,-2,0.493,-0.1629,0.177
1.2,0,0.485,0,0
1.2,2,0.493,0.1629,-0.177
1.2,4,0.5086,0.3313,-0.3691
1.2,8,0.5727,0.6827,-0.7628
1.2,12,0.6846,1.043,-1.094
1.2,16,0.8488,1.421,-1.322
1.2,20,1.089,1.881,-1.527
2,-20,1.127,-2.38,1.276
2,-16,0.7708,-1.624,0.9063
2,-12,0.5534,-1.023,0.545
2,-8,0.4265,-0.5955,0.2794
2,-4,0.3607,-0.2757,0.1181
2,-2,0.3424,-0.1348,0.05394
2,0,0.337,0,0
2,2,0.3424,0.1348,-0.05394
2,4,0.3607,0.2757,-0.1181
2,8,0.4265,0.5955,-0.2794
2,12,0.5534,1.023,-0.545
2,16,0.7708,1.624,-0.9063
2,20,1.127,2.38,-1.276
3,-20,1.001,-2.245,1.032
3,-16,0.6801,-1.65,0.7359
3,-12,0.4463,-1.085,0.485
3,-8,0.3052,-0.6129,0.2386
3,-4,0.2358,-0.2711,0.08195
3,-2,0.2191,-0.1311,0.03466
3,0,0.211,0,0
3,2,0.2191,0.1311,-0.03466
3,4,0.2358,0.2711,-0.08195
3,8,0.3052,0.6129,-0.2386
3,12,0.4463,1.085,-0.485
3,16,0.6801,1.65,-0.7359
3,20,1.001,2.245,-1.032
4,-20,0.8924,-2.026,0.8178
4,-16,0.5992,-1.511,0.5559
4,-12,0.3842,-1.034,0.3699
4,-8,0.2442,-0.6014,0.1959
4,-4,0.1742,-0.2631,0.06159
4,-2,0.1578,-0.1259,0.02296
4,0,0.149,0,0
4,2,0.1578,0.1259,-0.02296
4,4,0.1742,0.2631,-0.06159
4,8,0.2442,0.6014,-0.1959
4,12,0.3842,1.034,-0.3699
4,16,0.5992,1.511,-0.5559
4,20,0.8924,2.026,-0.8178
5,-20,0.8233,-1.873,0.6952
5,-16,0.5442,-1.387,0.4293
5,-12,0.3426,-0.958,0.2625
5,-8,0.2096,-0.5722,0.1374
5,-4,0.1398,-0.2529,0.04425
5,-2,0.1236,-0.1204,0.01301
5,0,0.115,0,0
5,2,0.1236,0.1204,-0.01301
5,4,0.1398,0.2529,-0.04425
5,8,0.2096,0.5722,-0.1374
5,12,0.3426,0.958,-0.2625
5,16,0.5442,1.387,-0.4293
5,20,0.8233,1.873,-0.6952
