Mach,alpha_deg,Reynolds,CA
0.3,0,1.00E+05,0.219
0.3,0,5.00E+05,0.162
0.3,0,1.00E+06,0.145
0.3,0,3.00E+06,0.122
0.3,0,5.00E+06,0.119
0.3,0,7.00E+06,0.119
0.3,0,1.00E+07,0.119
0.3,4,1.00E+05,0.219
0.3,4,5.00E+05,0.162
0.3,4,1.00E+06,0.144
0.3,4,3.00E+06,0.122
0.3,4,5.00E+06,0.119
0.3,4,7.00E+06,0.119
0.3,4,1.00E+07,0.119
0.3,8,1.00E+05,0.217
0.3,8,5.00E+05,0.161
0.3,8,1.00E+06,0.143
0.3,8,3.00E+06,0.121
0.3,8,5.00E+06,0.118
0.3,8,7.00E+06,0.118
0.3,8,1.00E+07,0.118
0.3,12,1.00E+05,0.213
0.3,12,5.00E+05,0.157
0.3,12,1.00E+06,0.14
0.3,12,3.00E+06,0.118
0.3,12,5.00E+06,0.115
0.3,12,7.00E+06,0.115
0.3,12,1.00E+07,0.115
0.3,16,1.00E+05,0.204
0.3,16,5.00E+05,0.149
0.3,16,1.00E+06,0.132
0.3,16,3.00E+06,0.11
0.3,16,5.00E+06,0.107
0.3,16,7.00E+06,0.107
0.3,16,1.00E+07,0.107
0.3,20,1.00E+05,0.187
0.3,20,5.00E+05,0.133
0.3,20,1.00E+06,0.116
0.3,20,3.00E+06,0.095
0.3,20,5.00E+06,0.092
0.3,20,7.00E+06,0.092
0.3,20,1.00E+07,0.092
0.5,0,1.00E+05,0.221
0.5,0,5.00E+05,0.163
0.5,0,1.00E+06,0.145
0.5,0,3.00E+06,0.123
0.5,0,5.00E+06,0.119
0.5,0,7.00E+06,0.119
0.5,0,1.00E+07,0.119
0.5,4,1.00E+05,0.22
0.5,4,5.00E+05,0.163
0.5,4,1.00E+06,0.145
0.5,4,3.00E+06,0.123
0.5,4,5.00E+06,0.119
0.5,4,7.00E+06,0.119
0.5,4,1.00E+07,0.119
0.5,8,1.00E+05,0.218
0.5,8,5.00E+05,0.161
0.5,8,1.00E+06,0.144
0.5,8,3.00E+06,0.122
0.5,8,5.00E+06,0.118
0.5,8,7.00E+06,0.118
0.5,8,1.00E+07,0.118
0.5,12,1.00E+05,0.214
0.5,12,5.00E+05,0.158
0.5,12,1.00E+06,0.14
0.5,12,3.00E+06,0.118
0.5,12,5.00E+06,0.114
0.5,12,7.00E+06,0.114
0.5,12,1.00E+07,0.114
0.5,16,1.00E+05,0.205
0.5,16,5.00E+05,0.149
0.5,16,1.00E+06,0.132
0.5,16,3.00E+06,0.111
0.5,16,5.00E+06,0.107
