Mach,alpha_deg,Cmq,Cnq,Clp
0.3,-20,-0.003,0.087,0.001
0.3,-16,-0.136,0.127,-0.011
0.3,-12,-0.579,0.259,-0.026
0.3,-8,-0.988,0.381,-0.038
0.3,-4,-1.205,0.446,-0.038
0.3,-2,-1.25,0.46,-0.038
0.3,0,-1.249,0.46,-0.037
0.3,2,-1.25,0.46,-0.038
0.3,4,-1.205,0.446,-0.038
0.3,8,-0.988,0.381,-0.038
0.3,12,-0.579,0.259,-0.026
0.3,16,-0.136,0.127,-0.011
0.3,20,-0.003,0.087,0.001
0.5,-20,-0.161,0.127,-0.002
0.5,-16,-0.2,0.139,-0.009
0.5,-12,-0.537,0.24,-0.025
0.5,-8,-0.993,0.376,-0.039
0.5,-4,-1.238,0.449,-0.039
0.5,-2,-1.291,0.465,-0.039
0.5,0,-1.296,0.467,-0.039
0.5,2,-1.291,0.465,-0.039
0.5,4,-1.238,0.449,-0.039
0.5,8,-0.993,0.376,-0.039
0.5,12,-0.537,0.24,-0.025
0.5,16,-0.2,0.139,-0.009
0.5,20,-0.161,0.127,-0.002
0.8,-20,-0.411,0.183,-0.009
0.8,-16,-0.441,0.191,-0.012
0.8,-12,-0.67,0.26,-0.027
0.8,-8,-1.086,0.384,-0.04
0.8,-4,-1.32,0.454,-0.041
0.8,-2,-1.378,0.472,-0.041
0.8,0,-1.397,0.477,-0.041
0.8,2,-1.378,0.472,-0.041
0.8,4,-1.32,0.454,-0.041
0.8,8,-1.086,0.384,-0.04
0.8,12,-0.67,0.26,-0.027
0.8,16,-0.441,0.191,-0.012
0.8,20,-0.411,0.183,-0.009
1.2,-20,-0.736,0.225,-0.02
1.2,-16,-0.893,0.271,-0.028
1.2,-12,-1.103,0.333,-0.039
1.2,-8,-1.334,0.4,-0.047
1.2,-4,-1.476,0.442,-0.05
1.2,-2,-1.522,0.455,-0.05
1.2,0,-1.548,0.463,-0.05
1.2,2,-1.522,0.455,-0.05
1.2,4,-1.476,0.442,-0.05
1.2,8,-1.334,0.4,-0.047
1.2,12,-1.103,0.333,-0.039
1.2,16,-0.893,0.271,-0.028
1.2,20,-0.736,0.225,-0.02
2,-20,-0.697,0.25,-0.015
2,-16,-0.794,0.279,-0.021
2,-12,-0.921,0.316,-0.026
2,-8,-0.989,0.336,-0.028
2,-4,-1.024,0.346,-0.028
2,-2,-1.032,0.348,-0.027
2,0,-1.028,0.347,-0.026
2,2,-1.032,0.348,-0.027
2,4,-1.024,0.346,-0.028
2,8,-0.989,0.336,-0.028
2,12,-0.921,0.316,-0.026
2,16,-0.794,0.279,-0.021
2,20,-0.697,0.25,-0.015
3,-20,-0.665,0.24,-0.015
3,-16,-0.686,0.246,-0.016
3,-12,-0.727,0.258,-0.017
3,-8,-0.759,0.267,-0.018
3,-4,-0.771,0.271,-0.017
3,-2,-0.769,0.27,-0.017
3,0,-0.764,0.268,-0.017
3,2,-0.769,0.27,-0.017
3,4,-0.771,0.271,-0.017
3,8,-0.759,0.267,-0.018
3,12,-0.727,0.258,-0.017
3,16,-0.686,0.246,-0.016
3,20,-0.665,0.24,-0.015
4,-20,-0.612,0.221,-0.014
4,-16,-0.63,0.226,-0.016
4,-12,-0.663,0.236,-0.016
4,-8,-0.657,0.234,-0.013
4,-4,-0.635,0.228,-0.012
4,-2,-0.626,0.225,-0.012
4,0,-0.619,0.223,-0.012
4,2,-0.626,0.225,-0.012
4,4,-0.635,0.228,-0.012
4,8,-0.657,0.234,-0.013
4,12,-0.663,0.236,-0.016
4,16,-0.63,0.226,-0.016
4,20,-0.612,0.221,-0.014
5,-20,-0.579,0.21,-0.015
5,-16,-0.61,0.219,-0.016
5,-12,-0.621,0.222,-0.014
5,-8,-0.585,0.212,-0.011
5,-4,-0.557,0.204,-0.01
5,-2,-0.543,0.2,-0.01
5,0,-0.532,0.197,-0.009
5,2,-0.543,0.2,-0.01
5,4,-0.557,0.204,-0.01
5,8,-0.585,0.212,-0.011
5,12,-0.621,0.222,-0.014
5,16,-0.61,0.219,-0.016
5,20,-0.579,0.21,-0.015
