Mach,alpha_deg,def_deg,Cn_delta,Cm_delta
0.3,0,0,0,0
0.3,0,2,-0.06205,0.2038
0.3,0,4,-0.1295,0.4252
0.3,0,8,-0.2717,0.8899
0.3,0,12,-0.4324,1.414
0.3,0,16,-0.525,1.71
0.3,0,20,-0.624,2.031
0.5,0,0,0,0
0.5,0,2,-0.06525,0.215
0.5,0,4,-0.1366,0.4498
0.5,0,8,-0.2873,0.9444
0.5,0,12,-0.4531,1.488
0.5,0,16,-0.5403,1.767
0.5,0,20,-0.6361,2.08
0.8,0,0,0,0
0.8,0,2,-0.07365,0.2456
0.8,0,4,-0.1556,0.5189
0.8,0,8,-0.3365,1.122
0.8,0,12,-0.5178,1.726
0.8,0,16,-0.6281,2.086
0.8,0,20,-0.7014,2.328
1.2,0,0,0,0
1.2,0,2,-0.06942,0.239
1.2,0,4,-0.1421,0.4887
1.2,0,8,-0.2925,1.005
1.2,0,12,-0.4343,1.49
1.2,0,16,-0.5562,1.905
1.2,0,20,-0.6517,2.228
2,0,0,0,0
2,0,2,-0.03565,0.123
2,0,4,-0.07156,0.2474
2,0,8,-0.1456,0.5034
2,0,12,-0.2202,0.7621
2,0,16,-0.2927,1.012
2,0,20,-0.3635,1.257
3,0,0,0,0
3,0,2,-0.02344,0.08076
3,0,4,-0.04676,0.1611
3,0,8,-0.09586,0.3301
3,0,12,-0.1466,0.505
3,0,16,-0.1952,0.6727
3,0,20,-0.2443,0.8429
4,0,0,0,0
4,0,2,-0.01685,0.05807
4,0,4,-0.03426,0.118
4,0,8,-0.07086,0.2439
4,0,12,-0.1105,0.3806
4,0,16,-0.1518,0.5222
4,0,20,-0.1938,0.6676
5,0,0,0,0
5,0,2,-0.01325,0.04556
5,0,4,-0.027,0.09287
5,0,8,-0.05639,0.1939
5,0,12,-0.09006,0.3098
5,0,16,-0.1265,0.4346
5,0,20,-0.1651,0.5684
