Mach,alpha_deg,def_roll,Cll
0.3,0,5,-0.1135
0.3,2,5,-0.1147
0.3,4,5,-0.118
0.3,8,5,-0.1196
0.3,12,5,-0.1066
0.3,16,5,-0.08425
0.3,20,5,-0.07084
0.5,0,5,-0.1185
0.5,2,5,-0.1198
0.5,4,5,-0.1233
0.5,8,5,-0.1225
0.5,12,5,-0.1057
0.5,16,5,-0.08092
0.5,20,5,-0.06854
0.8,0,5,-0.1334
0.8,2,5,-0.1359
0.8,4,5,-0.1413
0.8,8,5,-0.1487
0.8,12,5,-0.1127
0.8,16,5,-0.08013
0.8,20,5,-0.04371
1.2,0,5,-0.1432
1.2,2,5,-0.144
1.2,4,5,-0.1451
1.2,8,5,-0.1381
1.2,12,5,-0.1215
1.2,16,5,-0.1053
1.2,20,5,-0.09001
2,0,5,-0.08366
2,2,5,-0.08405
2,4,5,-0.08473
2,8,5,-0.08392
2,12,5,-0.08095
2,16,5,-0.07609
2,20,5,-0.07554
3,0,5,-0.05616
3,2,5,-0.05676
3,4,5,-0.0578
3,8,5,-0.05818
3,12,5,-0.05521
3,16,5,-0.05575
3,20,5,-0.05873
4,0,5,-0.04146
4,2,5,-0.0422
4,4,5,-0.04373
4,8,5,-0.04612
4,12,5,-0.04594
4,16,5,-0.05127
4,20,5,-0.05796
5,0,5,-0.03313
5,2,5,-0.03388
5,4,5,-0.03559
5,8,5,-0.03883
5,12,5,-0.0421
5,16,5,-0.0497
5,20,5,-0.05979
0.3,0,10,-0.2335
0.3,2,10,-0.2386
0.3,4,10,-0.227
0.3,8,10,-0.2191
0.3,12,10,-0.2045
0.3,16,10,-0.178
0.3,20,10,-0.1385
0.5,0,10,-0.2437
0.5,2,10,-0.2492
0.5,4,10,-0.2354
0.5,8,10,-0.2234
0.5,12,10,-0.2064
0.5,16,10,-0.176
0.5,20,10,-0.129
0.8,0,10,-0.2791
0.8,2,10,-0.2812
0.8,4,10,-0.28
0.8,8,10,-0.2455
0.8,12,10,-0.2208
0.8,16,10,-0.1771
0.8,20,10,-0.1087
1.2,0,10,-0.2848
1.2,2,10,-0.2829
1.2,4,10,-0.2778
1.2,8,10,-0.2604
1.2,12,10,-0.236
1.2,16,10,-0.2055
1.2,20,10,-0.1759
2,0,10,-0.1675
2,2,10,-0.1676
2,4,10,-0.1676
2,8,10,-0.1655
2,12,10,-0.1596
2,16,10,-0.1501
2,20,10,-0.1487
3,0,10,-0.1148
3,2,10,-0.1149
3,4,10,-0.1152
3,8,10,-0.1148
3,12,10,-0.1101
3,16,10,-0.1123
3,20,10,-0.1179
4,0,10,-0.08674
4,2,10,-0.08753
4,4,10,-0.08926
4,8,10,-0.09186
4,12,10,-0.09182
4,16,10,-0.1006
4,20,10,-0.1141
5,0,10,-0.07059
5,2,10,-0.07167
5,4,10,-0.07419
5,8,10,-0.07855
5,12,10,-0.08455
5,16,10,-0.09962
5,20,10,-0.1184
0.3,0,15,-0.4163
0.3,2,15,-0.4126
0.3,4,15,-0.4041
0.3,8,15,-0.3885
0.3,12,15,-0.3565
0.3,16,15,-0.2992
0.3,20,15,-0.2546
0.5,0,15,-0.4225
0.5,2,15,-0.4194
0.5,4,15,-0.4126
0.5,8,15,-0.3975
0.5,12,15,-0.3629
0.5,16,15,-0.3025
0.5,20,15,-0.2564
0.8,0,15,-0.4661
0.8,2,15,-0.469
0.8,4,15,-0.4724
0.8,8,15,-0.4382
0.8,12,15,-0.3895
0.8,16,15,-0.326
0.8,20,15,-0.2746
1.2,0,15,-0.4843
1.2,2,15,-0.4822
1.2,4,15,-0.4768
1.2,8,15,-0.4527
1.2,12,15,-0.4127
1.2,16,15,-0.3639
1.2,20,15,-0.3065
2,0,15,-0.3238
2,2,15,-0.3232
2,4,15,-0.3211
2,8,15,-0.3102
2,12,15,-0.2935
2,16,15,-0.2679
2,20,15,-0.2633
3,0,15,-0.2267
3,2,15,-0.227
3,4,15,-0.2279
3,8,15,-0.2275
3,12,15,-0.2161
3,16,15,-0.2175
3,20,15,-0.2236
4,0,15,-0.1844
4,2,15,-0.1851
4,4,15,-0.1864
4,8,15,-0.1863
4,12,15,-0.1814
4,16,15,-0.1965
4,20,15,-0.2213
5,0,15,-0.1594
5,2,15,-0.1605
5,4,15,-0.1628
5,8,15,-0.1638
5,12,15,-0.1699
5,16,15,-0.1956
5,20,15,-0.2312
