Mach,alpha_deg,Cd,Cn,Cm
0.3,-20.0,1.043,-2.678,-2.935
0.3,-16.0,0.732,-2.131,-2.452
0.3,-12.0,0.499,-1.653,-2.114
0.3,-8.0,0.317,-1.127,-1.568
0.3,-4.0,0.201,-0.545,-0.78
0.3,-2.0,0.173,-0.265,-0.383
0.3,0.0,0.164,0.0,0.0
0.3,2.0,0.173,0.265,-0.383
0.3,4.0,0.201,0.545,-0.78
0.3,8.0,0.317,1.127,-1.568
0.3,12.0,0.499,1.653,-2.114
0.3,16.0,0.732,2.131,-2.452
0.3,20.0,1.043,2.678,-2.935
0.5,-20.0,1.051,-2.702,-2.932
0.5,-16.0,0.737,-2.149,-2.465
0.5,-12.0,0.503,-1.673,-2.155
0.5,-8.0,0.319,-1.144,-1.612
0.5,-4.0,0.201,-0.554,-0.807
0.5,-2.0,0.172,-0.27,-0.398
0.5,0.0,0.163,0.0,0.0
0.5,2.0,0.172,0.27,-0.398
0.5,4.0,0.201,0.554,-0.807
0.5,8.0,0.319,1.144,-1.612
0.5,12.0,0.503,1.673,-2.155
0.5,16.0,0.737,2.149,-2.465
0.5,20.0,1.051,2.702,-2.932
0.8,-20.0,1.091,-2.816,-3.038
0.8,-16.0,0.75,-2.184,-2.488
0.8,-12.0,0.511,-1.698,-2.202
0.8,-8.0,0.326,-1.168,-1.673
0.8,-4.0,0.206,-0.571,-0.855
0.8,-2.0,0.176,-0.28,-0.426
0.8,0.0,0.167,0.0,0.0
0.8,2.0,0.176,0.28,-0.426
0.8,4.0,0.206,0.571,-0.855
0.8,8.0,0.326,1.168,-1.673
0.8,12.0,0.511,1.698,-2.202
0.8,16.0,0.75,2.184,-2.488
0.8,20.0,1.091,2.816,-3.038
1.2,-20.0,1.396,-3.415,-3.71
1.2,-16.0,0.947,-2.499,-2.857
1.2,-12.0,0.665,-1.879,-2.545
1.2,-8.0,0.459,-1.274,-1.975
1.2,-4.0,0.329,-0.62,-1.028
1.2,-2.0,0.298,-0.304,-0.517
1.2,0.0,0.287,0.0,0.0
1.2,2.0,0.298,0.304,-0.517
1.2,4.0,0.329,0.62,-1.028
1.2,8.0,0.459,1.274,-1.975
1.2,12.0,0.665,1.879,-2.545
1.2,16.0,0.947,2.499,-2.857
1.2,20.0,1.396,3.415,-3.71
2.0,-20.0,1.255,-3.031,-1.083
2.0,-16.0,0.845,-2.218,-0.878
2.0,-12.0,0.563,-1.523,-0.89
2.0,-8.0,0.389,-0.958,-0.744
2.0,-4.0,0.292,-0.441,-0.377
2.0,-2.0,0.27,-0.211,-0.184
2.0,0.0,0.263,0.0,0.0
2.0,2.0,0.27,0.211,-0.184
2.0,4.0,0.292,0.441,-0.377
2.0,8.0,0.389,0.958,-0.744
2.0,12.0,0.563,1.523,-0.89
2.0,16.0,0.845,2.218,-0.878
2.0,20.0,1.255,3.031,-1.083
3.0,-20.0,1.069,-2.543,-0.151
3.0,-16.0,0.738,-1.96,-0.105
3.0,-12.0,0.481,-1.374,-0.177
3.0,-8.0,0.305,-0.799,-0.216
3.0,-4.0,0.216,-0.348,-0.112
3.0,-2.0,0.198,-0.165,-0.057
3.0,0.0,0.192,0.0,0.0
3.0,2.0,0.198,0.165,-0.057
3.0,4.0,0.216,0.348,-0.112
3.0,8.0,0.305,0.799,-0.216
3.0,12.0,0.481,1.374,-0.177
3.0,16.0,0.738,1.96,-0.105
3.0,20.0,1.069,2.543,-0.151
4.0,-20.0,0.953,-2.241,0.198
4.0,-16.0,0.644,-1.697,0.183
4.0,-12.0,0.42,-1.213,0.106
4.0,-8.0,0.262,-0.724,0.011
4.0,-4.0,0.177,-0.291,0.01
4.0,-2.0,0.16,-0.135,0.006
4.0,0.0,0.155,0.0,0.0
4.0,2.0,0.16,0.135,0.006
4.0,4.0,0.177,0.291,0.01
4.0,8.0,0.262,0.724,0.011
4.0,12.0,0.42,1.213,0.106
4.0,16.0,0.644,1.697,0.183
4.0,20.0,0.953,2.241,0.198
5.0,-20.0,0.881,-2.06,0.341
5.0,-16.0,0.582,-1.525,0.3
5.0,-12.0,0.371,-1.067,0.216
5.0,-8.0,0.231,-0.658,0.108
5.0,-4.0,0.151,-0.255,0.064
5.0,-2.0,0.136,-0.115,0.034
5.0,0.0,0.131,0.0,0.0
5.0,2.0,0.136,0.115,0.034
5.0,4.0,0.151,0.255,0.064
5.0,8.0,0.231,0.658,0.108
5.0,12.0,0.371,1.067,0.216
5.0,16.0,0.582,1.525,0.3
5.0,20.0,0.881,2.06,0.341
