Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.432
0.3,0.0,500000.0,0.357
0.3,0.0,1000000.0,0.334
0.3,0.0,3000000.0,0.306
0.3,0.0,7000000.0,0.303
0.3,0.0,10000000.0,0.303
0.3,2.0,100000.0,0.433
0.3,2.0,500000.0,0.357
0.3,2.0,1000000.0,0.335
0.3,2.0,3000000.0,0.306
0.3,2.0,7000000.0,0.303
0.3,2.0,10000000.0,0.303
0.3,4.0,100000.0,0.432
0.3,4.0,500000.0,0.357
0.3,4.0,1000000.0,0.335
0.3,4.0,3000000.0,0.306
0.3,4.0,7000000.0,0.303
0.3,4.0,10000000.0,0.303
0.3,6.0,100000.0,0.432
0.3,6.0,500000.0,0.357
0.3,6.0,1000000.0,0.334
0.3,6.0,3000000.0,0.306
0.3,6.0,7000000.0,0.303
0.3,6.0,10000000.0,0.303
0.3,8.0,100000.0,0.43
0.3,8.0,500000.0,0.356
0.3,8.0,1000000.0,0.333
0.3,8.0,3000000.0,0.305
0.3,8.0,7000000.0,0.302
0.3,8.0,10000000.0,0.302
0.3,10.0,100000.0,0.428
0.3,10.0,500000.0,0.354
0.3,10.0,1000000.0,0.331
0.3,10.0,3000000.0,0.303
0.3,10.0,7000000.0,0.3
0.3,10.0,10000000.0,0.3
0.3,12.0,100000.0,0.425
0.3,12.0,500000.0,0.351
0.3,12.0,1000000.0,0.328
0.3,12.0,3000000.0,0.301
0.3,12.0,7000000.0,0.297
0.3,12.0,10000000.0,0.297
0.3,14.0,100000.0,0.42
0.3,14.0,500000.0,0.347
0.3,14.0,1000000.0,0.324
0.3,14.0,3000000.0,0.297
0.3,14.0,7000000.0,0.294
0.3,14.0,10000000.0,0.294
0.3,16.0,100000.0,0.414
0.3,16.0,500000.0,0.341
0.3,16.0,1000000.0,0.319
0.3,16.0,3000000.0,0.291
0.3,16.0,7000000.0,0.288
0.3,16.0,10000000.0,0.288
0.3,18.0,100000.0,0.405
0.3,18.0,500000.0,0.333
0.3,18.0,1000000.0,0.311
0.3,18.0,3000000.0,0.283
0.3,18.0,7000000.0,0.28
0.3,18.0,10000000.0,0.28
0.3,20.0,100000.0,0.394
0.3,20.0,500000.0,0.322
0.3,20.0,1000000.0,0.3
0.3,20.0,3000000.0,0.273
0.3,20.0,7000000.0,0.27
0.3,20.0,10000000.0,0.27
0.5,0.0,100000.0,0.434
0.5,0.0,500000.0,0.358
0.5,0.0,1000000.0,0.336
0.5,0.0,3000000.0,0.307
0.5,0.0,7000000.0,0.303
0.5,0.0,10000000.0,0.303
0.5,2.0,100000.0,0.434
0.5,2.0,500000.0,0.359
0.5,2.0,1000000.0,0.336
0.5,2.0,3000000.0,0.307
0.5,2.0,7000000.0,0.303
0.5,2.0,10000000.0,0.303
0.5,4.0,100000.0,0.434
0.5,4.0,500000.0,0.358
0.5,4.0,1000000.0,0.336
0.5,4.0,3000000.0,0.307
0.5,4.0,7000000.0,0.303
0.5,4.0,10000000.0,0.303
0.5,6.0,100000.0,0.433
0.5,6.0,500000.0,0.358
0.5,6.0,1000000.0,0.335
0.5,6.0,3000000.0,0.307
0.5,6.0,7000000.0,0.302
0.5,6.0,10000000.0,0.302
0.5,8.0,100000.0,0.432
0.5,8.0,500000.0,0.357
0.5,8.0,1000000.0,0.334
0.5,8.0,3000000.0,0.306
0.5,8.0,7000000.0,0.301
0.5,8.0,10000000.0,0.301
0.5,10.0,100000.0,0.43
0.5,10.0,500000.0,0.355
0.5,10.0,1000000.0,0.332
0.5,10.0,3000000.0,0.304
0.5,10.0,7000000.0,0.3
0.5,10.0,10000000.0,0.3
0.5,12.0,100000.0,0.426
0.5,12.0,500000.0,0.352
0.5,12.0,1000000.0,0.329
0.5,12.0,3000000.0,0.301
0.5,12.0,7000000.0,0.297
0.5,12.0,10000000.0,0.297
0.5,14.0,100000.0,0.422
0.5,14.0,500000.0,0.348
0.5,14.0,1000000.0,0.325
0.5,14.0,3000000.0,0.297
0.5,14.0,7000000.0,0.293
0.5,14.0,10000000.0,0.293
0.5,16.0,100000.0,0.415
0.5,16.0,500000.0,0.342
0.5,16.0,1000000.0,0.319
0.5,16.0,3000000.0,0.292
