Mach,alpha_deg,Reynolds,CA
0.3,0.0,100000.0,0.413
0.3,0.0,500000.0,0.337
0.3,0.0,1000000.0,0.315
0.3,0.0,3000000.0,0.286
0.3,0.0,7000000.0,0.283
0.3,0.0,10000000.0,0.283
0.3,2.0,100000.0,0.413
0.3,2.0,500000.0,0.338
0.3,2.0,1000000.0,0.315
0.3,2.0,3000000.0,0.287
0.3,2.0,7000000.0,0.283
0.3,2.0,10000000.0,0.283
0.3,4.0,100000.0,0.413
0.3,4.0,500000.0,0.337
0.3,4.0,1000000.0,0.315
0.3,4.0,3000000.0,0.287
0.3,4.0,7000000.0,0.283
0.3,4.0,10000000.0,0.283
0.3,6.0,100000.0,0.412
0.3,6.0,500000.0,0.337
0.3,6.0,1000000.0,0.314
0.3,6.0,3000000.0,0.286
0.3,6.0,7000000.0,0.283
0.3,6.0,10000000.0,0.283
0.3,8.0,100000.0,0.411
0.3,8.0,500000.0,0.336
0.3,8.0,1000000.0,0.313
0.3,8.0,3000000.0,0.285
0.3,8.0,7000000.0,0.282
0.3,8.0,10000000.0,0.282
0.3,10.0,100000.0,0.408
0.3,10.0,500000.0,0.334
0.3,10.0,1000000.0,0.312
0.3,10.0,3000000.0,0.284
0.3,10.0,7000000.0,0.281
0.3,10.0,10000000.0,0.281
0.3,12.0,100000.0,0.405
0.3,12.0,500000.0,0.331
0.3,12.0,1000000.0,0.309
0.3,12.0,3000000.0,0.281
0.3,12.0,7000000.0,0.278
0.3,12.0,10000000.0,0.278
0.3,14.0,100000.0,0.401
0.3,14.0,500000.0,0.327
0.3,14.0,1000000.0,0.305
0.3,14.0,3000000.0,0.277
0.3,14.0,7000000.0,0.274
0.3,14.0,10000000.0,0.274
0.3,16.0,100000.0,0.395
0.3,16.0,500000.0,0.322
0.3,16.0,1000000.0,0.3
0.3,16.0,3000000.0,0.272
0.3,16.0,7000000.0,0.269
0.3,16.0,10000000.0,0.269
0.3,18.0,100000.0,0.386
0.3,18.0,500000.0,0.314
0.3,18.0,1000000.0,0.292
0.3,18.0,3000000.0,0.265
0.3,18.0,7000000.0,0.261
0.3,18.0,10000000.0,0.261
0.3,20.0,100000.0,0.375
0.3,20.0,500000.0,0.303
0.3,20.0,1000000.0,0.281
0.3,20.0,3000000.0,0.254
0.3,20.0,7000000.0,0.251
0.3,20.0,10000000.0,0.251
0.5,0.0,100000.0,0.414
0.5,0.0,500000.0,0.339
0.5,0.0,1000000.0,0.316
0.5,0.0,3000000.0,0.287
0.5,0.0,7000000.0,0.283
0.5,0.0,10000000.0,0.283
0.5,2.0,100000.0,0.414
0.5,2.0,500000.0,0.339
0.5,2.0,1000000.0,0.316
0.5,2.0,3000000.0,0.287
0.5,2.0,7000000.0,0.283
0.5,2.0,10000000.0,0.283
0.5,4.0,100000.0,0.414
0.5,4.0,500000.0,0.339
0.5,4.0,1000000.0,0.316
0.5,4.0,3000000.0,0.287
0.5,4.0,7000000.0,0.283
0.5,4.0,10000000.0,0.283
0.5,6.0,100000.0,0.414
0.5,6.0,500000.0,0.338
0.5,6.0,1000000.0,0.315
0.5,6.0,3000000.0,0.287
0.5,6.0,7000000.0,0.282
0.5,6.0,10000000.0,0.282
0.5,8.0,100000.0,0.412
0.5,8.0,500000.0,0.337
0.5,8.0,1000000.0,0.314
0.5,8.0,3000000.0,0.286
0.5,8.0,7000000.0,0.282
0.5,8.0,10000000.0,0.282
0.5,10.0,100000.0,0.41
0.5,10.0,500000.0,0.335
0.5,10.0,1000000.0,0.313
0.5,10.0,3000000.0,0.284
0.5,10.0,7000000.0,0.28
0.5,10.0,10000000.0,0.28
0.5,12.0,100000.0,0.407
0.5,12.0,500000.0,0.332
0.5,12.0,1000000.0,0.31
0.5,12.0,3000000.0,0.282
0.5,12.0,7000000.0,0.277
0.5,12.0,10000000.0,0.277
0.5,14.0,100000.0,0.402
0.5,14.0,500000.0,0.328
0.5,14.0,1000000.0,0.306
0.5,14.0,3000000.0,0.278
0.5,14.0,7000000.0,0.274
0.5,14.0,10000000.0,0.274
0.5,16.0,100000.0,0.396
0.5,16.0,500000.0,0.322
0.5,16.0,1000000.0,0.3
0.5,16.0,3000000.0,0.273
0.5,16.0,7000000.0,0.268
0.5,16.0,10000000.0,0.268
0.5,18.0,100000.0,0.388
0.5,18.0,500000.0,0.314
0.5,18.0,1000000.0,0.292
0.5,18.0,3000000.0,0.265
0.5,18.0,7000000.0,0.261
0.5,18.0,10000000.0,0.261
0.5,20.0,100000.0,0.376
0.5,20.0,500000.0,0.304
0.5,20.0,1000000.0,0.282
0.5,20.0,3000000.0,0.254
0.5,20.0,7000000.0,0.25
0.5,20.0,10000000.0,0.25
0.8,0.0,100000.0,0.422
0.8,0.0,500000.0,0.344
0.8,0.0,1000000.0,0.32
0.8,0.0,3000000.0,0.29
0.8,0.0,7000000.0,0.283
0.8,0.0,10000000.0,0.283
0.8,2.0,100000.0,0.423
0.8,2.0,500000.0,0.344
0.8,2.0,1000000.0,0.32
0.8,2.0,3000000.0,0.291
0.8,2.0,7000000.0,0.284
0.8,2.0,10000000.0,0.284
0.8,4.0,100000.0,0.422
0.8,4.0,500000.0,0.344
0.8,4.0,1000000.0,0.32
0.8,4.0,3000000.0,0.291
0.8,4.0,7000000.0,0.284
0.8,4.0,10000000.0,0.284
0.8,6.0,100000.0,0.421
0.8,6.0,500000.0,0.343
0.8,6.0,1000000.0,0.319
0.8,6.0,3000000.0,0.29
0.8,6.0,7000000.0,0.283
0.8,6.0,10000000.0,0.283
0.8,8.0,100000.0,0.42
0.8,8.0,500000.0,0.342
0.8,8.0,1000000.0,0.318
0.8,8.0,3000000.0,0.289
0.8,8.0,7000000.0,0.282
0.8,8.0,10000000.0,0.282
0.8,10.0,100000.0,0.418
0.8,10.0,500000.0,0.34
0.8,10.0,1000000.0,0.317
0.8,10.0,3000000.0,0.287
0.8,10.0,7000000.0,0.281
0.8,10.0,10000000.0,0.281
0.8,12.0,100000.0,0.415
0.8,12.0,500000.0,0.337
0.8,12.0,1000000.0,0.314
0.8,12.0,3000000.0,0.285
0.8,12.0,7000000.0,0.278
0.8,12.0,10000000.0,0.278
0.8,14.0,100000.0,0.41
0.8,14.0,500000.0,0.333
0.8,14.0,1000000.0,0.31
0.8,14.0,3000000.0,0.281
0.8,14.0,7000000.0,0.274
0.8,14.0,10000000.0,0.274
0.8,16.0,100000.0,0.403
0.8,16.0,500000.0,0.327
0.8,16.0,1000000.0,0.304
0.8,16.0,3000000.0,0.275
0.8,16.0,7000000.0,0.268
0.8,16.0,10000000.0,0.268
0.8,18.0,100000.0,0.394
0.8,18.0,500000.0,0.318
0.8,18.0,1000000.0,0.295
0.8,18.0,3000000.0,0.267
0.8,18.0,7000000.0,0.26
0.8,18.0,10000000.0,0.26
0.8,20.0,100000.0,0.382
0.8,20.0,500000.0,0.307
0.8,20.0,1000000.0,0.284
0.8,20.0,3000000.0,0.256
0.8,20.0,7000000.0,0.249
0.8,20.0,10000000.0,0.249
1.2,0.0,100000.0,0.572
1.2,0.0,500000.0,0.507
1.2,0.0,1000000.0,0.488
1.2,0.0,3000000.0,0.464
1.2,0.0,7000000.0,0.456
1.2,0.0,10000000.0,0.456
1.2,2.0,100000.0,0.572
1.2,2.0,500000.0,0.507
1.2,2.0,1000000.0,0.488
1.2,2.0,3000000.0,0.464
1.2,2.0,7000000.0,0.456
1.2,2.0,10000000.0,0.456
1.2,4.0,100000.0,0.571
1.2,4.0,500000.0,0.507
1.2,4.0,1000000.0,0.488
1.2,4.0,3000000.0,0.464
1.2,4.0,7000000.0,0.455
1.2,4.0,10000000.0,0.455
1.2,6.0,100000.0,0.57
1.2,6.0,500000.0,0.506
1.2,6.0,1000000.0,0.487
1.2,6.0,3000000.0,0.463
1.2,6.0,7000000.0,0.454
1.2,6.0,10000000.0,0.454
1.2,8.0,100000.0,0.568
1.2,8.0,500000.0,0.504
1.2,8.0,1000000.0,0.485
1.2,8.0,3000000.0,0.461
1.2,8.0,7000000.0,0.453
1.2,8.0,10000000.0,0.453
1.2,10.0,100000.0,0.565
1.2,10.0,500000.0,0.501
1.2,10.0,1000000.0,0.482
1.2,10.0,3000000.0,0.459
1.2,10.0,7000000.0,0.45
1.2,10.0,10000000.0,0.45
1.2,12.0,100000.0,0.561
1.2,12.0,500000.0,0.497
1.2,12.0,1000000.0,0.478
1.2,12.0,3000000.0,0.455
1.2,12.0,7000000.0,0.446
1.2,12.0,10000000.0,0.446
1.2,14.0,100000.0,0.555
1.2,14.0,500000.0,0.491
1.2,14.0,1000000.0,0.472
1.2,14.0,3000000.0,0.449
1.2,14.0,7000000.0,0.441
1.2,14.0,10000000.0,0.441
1.2,16.0,100000.0,0.545
1.2,16.0,500000.0,0.483
1.2,16.0,1000000.0,0.464
1.2,16.0,3000000.0,0.441
1.2,16.0,7000000.0,0.432
1.2,16.0,10000000.0,0.432
1.2,18.0,100000.0,0.533
1.2,18.0,500000.0,0.47
1.2,18.0,1000000.0,0.452
1.2,18.0,3000000.0,0.429
1.2,18.0,7000000.0,0.421
1.2,18.0,10000000.0,0.421
1.2,20.0,100000.0,0.515
1.2,20.0,500000.0,0.453
1.2,20.0,1000000.0,0.435
1.2,20.0,3000000.0,0.412
1.2,20.0,7000000.0,0.404
1.2,20.0,10000000.0,0.404
2.0,0.0,100000.0,0.511
2.0,0.0,500000.0,0.448
2.0,0.0,1000000.0,0.429
2.0,0.0,3000000.0,0.407
2.0,0.0,7000000.0,0.393
2.0,0.0,10000000.0,0.392
2.0,2.0,100000.0,0.511
2.0,2.0,500000.0,0.447
2.0,2.0,1000000.0,0.429
2.0,2.0,3000000.0,0.406
2.0,2.0,7000000.0,0.393
2.0,2.0,10000000.0,0.391
2.0,4.0,100000.0,0.509
2.0,4.0,500000.0,0.446
2.0,4.0,1000000.0,0.427
2.0,4.0,3000000.0,0.405
2.0,4.0,7000000.0,0.392
2.0,4.0,10000000.0,0.39
2.0,6.0,100000.0,0.507
2.0,6.0,500000.0,0.444
2.0,6.0,1000000.0,0.425
2.0,6.0,3000000.0,0.403
2.0,6.0,7000000.0,0.39
2.0,6.0,10000000.0,0.388
2.0,8.0,100000.0,0.503
2.0,8.0,500000.0,0.441
2.0,8.0,1000000.0,0.422
2.0,8.0,3000000.0,0.4
2.0,8.0,7000000.0,0.387
2.0,8.0,10000000.0,0.385
2.0,10.0,100000.0,0.499
2.0,10.0,500000.0,0.436
2.0,10.0,1000000.0,0.418
2.0,10.0,3000000.0,0.396
2.0,10.0,7000000.0,0.383
