Mach,alpha_deg,def_pitch,Cnd,Cmd
0.3,0.0,-20.0,4.185456693430664,-11.920386927696777
0.3,2.0,-20.0,4.491989113825654,-12.799877143222592
0.3,4.0,-20.0,4.715442653926675,-13.424401139915188
0.3,8.0,-20.0,4.979003239686854,-14.180705429487876
0.3,12.0,-20.0,5.073541275883439,-14.449995593199363
0.3,16.0,-20.0,5.062082119980823,-14.409888547540202
0.3,20.0,-20.0,4.884465203490269,-13.899956109873774
0.5,0.0,-20.0,4.145349647771506,-11.808660157646267
0.5,2.0,-20.0,4.506313058703925,-12.842848977857402
0.5,4.0,-20.0,4.7670088554884495,-13.579099744600512
0.5,8.0,-20.0,5.070676486907786,-14.4414012262724
0.5,12.0,-20.0,5.162349734128718,-14.707826601008234
0.5,16.0,-20.0,5.127972266420868,-14.598964619933376
0.5,20.0,-20.0,4.887329992465922,-13.917144843727696
0.8,0.0,-20.0,4.2484820508950545,-12.10373342213864
0.8,2.0,-20.0,4.609445461827473,-13.14078703132543
0.8,4.0,-20.0,4.873006047587651,-13.89136174294681
0.8,8.0,-20.0,5.182403256958296,-14.762257591545662
0.8,12.0,-20.0,5.274076504179228,-15.02581817730584
0.8,16.0,-20.0,5.236834247495725,-14.914091407255327
0.8,20.0,-20.0,4.999056762516433,-14.235136420025302
1.2,0.0,-20.0,4.827169423977186,-14.404158969588895
1.2,2.0,-20.0,5.027704652272974,-15.005764654476263
1.2,4.0,-20.0,5.188132834909604,-15.487049202386153
1.2,8.0,-20.0,5.385803274229739,-16.082925309322206
1.2,12.0,-20.0,5.474611732475016,-16.346485895082385
1.2,16.0,-20.0,5.491800466328941,-16.400916885619814
1.2,20.0,-20.0,5.445963842718475,-16.27200138171538
2.0,0.0,-20.0,2.595498811942629,-7.79509080275485
2.0,2.0,-20.0,2.612687545796554,-7.846657004316625
2.0,4.0,-20.0,2.632741068626133,-7.909682361781015
2.0,8.0,-20.0,2.6843072701879067,-8.055786599539376
