Mach,alpha_deg,def_roll,Cll
0.3,0.0,0.0,0.0
0.3,2.0,0.0,0.0
0.3,4.0,0.0,0.0
0.3,6.0,0.0,0.0
0.3,8.0,0.0,0.0
0.3,10.0,0.0,0.0
0.3,12.0,0.0,0.0
0.3,14.0,0.0,0.0
0.3,16.0,0.0,0.0
0.3,18.0,0.0,0.0
0.3,20.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,2.0,0.0,0.0
0.5,4.0,0.0,0.0
0.5,6.0,0.0,0.0
0.5,8.0,0.0,0.0
0.5,10.0,0.0,0.0
0.5,12.0,0.0,0.0
0.5,14.0,0.0,0.0
0.5,16.0,0.0,0.0
0.5,18.0,0.0,0.0
0.5,20.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,2.0,0.0,0.0
0.8,4.0,0.0,0.0
0.8,6.0,0.0,0.0
0.8,8.0,0.0,0.0
0.8,10.0,0.0,0.0
0.8,12.0,0.0,0.0
0.8,14.0,0.0,0.0
0.8,16.0,0.0,0.0
0.8,18.0,0.0,0.0
0.8,20.0,0.0,0.0
1.2,0.0,0.0,0.0
1.2,2.0,0.0,0.0
1.2,4.0,0.0,0.0
1.2,6.0,0.0,0.0
1.2,8.0,0.0,0.0
1.2,10.0,0.0,0.0
1.2,12.0,0.0,0.0
1.2,14.0,0.0,0.0
1.2,16.0,0.0,0.0
1.2,18.0,0.0,0.0
1.2,20.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0
2.0,4.0,0.0,0.0
2.0,6.0,0.0,0.0
2.0,8.0,0.0,0.0
2.0,10.0,0.0,0.0
2.0,12.0,0.0,0.0
2.0,14.0,0.0,0.0
2.0,16.0,0.0,0.0
2.0,18.0,0.0,0.0
2.0,20.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0
3.0,4.0,0.0,0.0
3.0,6.0,0.0,0.0
3.0,8.0,0.0,0.0
3.0,10.0,0.0,0.0
3.0,12.0,0.0,0.0
3.0,14.0,0.0,0.0
3.0,16.0,0.0,0.0
3.0,18.0,0.0,0.0
3.0,20.0,0.0,0.0
4.0,0.0,0.0,0.0
4.0,2.0,0.0,0.0
4.0,4.0,0.0,0.0
4.0,6.0,0.0,0.0
4.0,8.0,0.0,0.0
4.0,10.0,0.0,0.0
4.0,12.0,0.0,0.0
4.0,14.0,0.0,0.0
4.0,16.0,0.0,0.0
4.0,18.0,0.0,0.0
4.0,20.0,0.0,0.0
5.0,0.0,0.0,0.0
5.0,2.0,0.0,0.0
5.0,4.0,0.0,0.0
5.0,6.0,0.0,0.0
5.0,8.0,0.0,0.0
5.0,10.0,0.0,0.0
5.0,12.0,0.0,0.0
5.0,14.0,0.0,0.0
5.0,16.0,0.0,0.0
5.0,18.0,0.0,0.0
5.0,20.0,0.0,0.0
0.3,0.0,5.0,-0.221
0.3,2.0,5.0,-0.222
0.3,4.0,5.0,-0.226
0.3,6.0,5.0,-0.231
0.3,8.0,5.0,-0.23
0.3,10.0,5.0,-0.223
0.3,12.0,5.0,-0.211
0.3,14.0,5.0,-0.196
0.3,16.0,5.0,-0.177
0.3,18.0,5.0,-0.146
0.3,20.0,5.0,-0.131
0.5,0.0,5.0,-0.227
0.5,2.0,5.0,-0.229
0.5,4.0,5.0,-0.232
0.5,6.0,5.0,-0.235
0.5,8.0,5.0,-0.233
0.5,10.0,5.0,-0.224
0.5,12.0,5.0,-0.21
0.5,14.0,5.0,-0.193
0.5,16.0,5.0,-0.172
0.5,18.0,5.0,-0.135
0.5,20.0,5.0,-0.118
0.8,0.0,5.0,-0.24
0.8,2.0,5.0,-0.24
0.8,4.0,5.0,-0.239
0.8,6.0,5.0,-0.238
0.8,8.0,5.0,-0.234
0.8,10.0,5.0,-0.225
0.8,12.0,5.0,-0.212
0.8,14.0,5.0,-0.196
0.8,16.0,5.0,-0.177
0.8,18.0,5.0,-0.142
0.8,20.0,5.0,-0.127
1.2,0.0,5.0,-0.365
1.2,2.0,5.0,-0.365
1.2,4.0,5.0,-0.363
1.2,6.0,5.0,-0.36
1.2,8.0,5.0,-0.354
1.2,10.0,5.0,-0.345
1.2,12.0,5.0,-0.336
1.2,14.0,5.0,-0.327
1.2,16.0,5.0,-0.315
1.2,18.0,5.0,-0.291
1.2,20.0,5.0,-0.28
2.0,0.0,5.0,-0.221
2.0,2.0,5.0,-0.222
2.0,4.0,5.0,-0.225
2.0,6.0,5.0,-0.227
2.0,8.0,5.0,-0.228
2.0,10.0,5.0,-0.228
2.0,12.0,5.0,-0.226
2.0,14.0,5.0,-0.225
2.0,16.0,5.0,-0.223
2.0,18.0,5.0,-0.22
2.0,20.0,5.0,-0.217
3.0,0.0,5.0,-0.139
3.0,2.0,5.0,-0.139
3.0,4.0,5.0,-0.141
3.0,6.0,5.0,-0.144
3.0,8.0,5.0,-0.147
3.0,10.0,5.0,-0.148
3.0,12.0,5.0,-0.148
3.0,14.0,5.0,-0.148
3.0,16.0,5.0,-0.147
3.0,18.0,5.0,-0.148
3.0,20.0,5.0,-0.147
4.0,0.0,5.0,-0.102
4.0,2.0,5.0,-0.103
4.0,4.0,5.0,-0.105
4.0,6.0,5.0,-0.109
4.0,8.0,5.0,-0.113
4.0,10.0,5.0,-0.117
4.0,12.0,5.0,-0.12
4.0,14.0,5.0,-0.123
4.0,16.0,5.0,-0.125
