Mach,alpha_deg,Reynolds,CA
3.0,0.0,0.0,0.255
3.0,0.0,20000.0,0.259
3.0,0.0,30000.0,0.271
3.0,0.0,40000.0,0.292
3.0,0.0,50000.0,0.322
3.0,0.0,60000.0,0.366
3.0,0.0,70000.0,0.439
3.0,0.0,77000.0,0.541
3.0,4.0,0.0,0.255
3.0,4.0,20000.0,0.26
3.0,4.0,30000.0,0.272
3.0,4.0,40000.0,0.293
3.0,4.0,50000.0,0.323
3.0,4.0,60000.0,0.366
3.0,4.0,70000.0,0.439
3.0,4.0,77000.0,0.541
3.0,8.0,0.0,0.259
3.0,8.0,20000.0,0.262
3.0,8.0,30000.0,0.276
3.0,8.0,40000.0,0.295
3.0,8.0,50000.0,0.324
3.0,8.0,60000.0,0.368
3.0,8.0,70000.0,0.44
3.0,8.0,77000.0,0.541
3.0,12.0,0.0,0.264
3.0,12.0,20000.0,0.267
3.0,12.0,30000.0,0.279
3.0,12.0,40000.0,0.3
3.0,12.0,50000.0,0.328
3.0,12.0,60000.0,0.371
3.0,12.0,70000.0,0.442
3.0,12.0,77000.0,0.542
3.0,16.0,0.0,0.27
3.0,16.0,20000.0,0.275
3.0,16.0,30000.0,0.286
3.0,16.0,40000.0,0.305
3.0,16.0,50000.0,0.334
3.0,16.0,60000.0,0.374
3.0,16.0,70000.0,0.443
3.0,16.0,77000.0,0.542
3.0,20.0,0.0,0.278
3.0,20.0,20000.0,0.282
3.0,20.0,30000.0,0.293
3.0,20.0,40000.0,0.312
3.0,20.0,50000.0,0.339
3.0,20.0,60000.0,0.379
3.0,20.0,70000.0,0.447
3.0,20.0,77000.0,0.542
4.0,0.0,0.0,0.189
4.0,0.0,20000.0,0.196
4.0,0.0,30000.0,0.206
4.0,0.0,40000.0,0.223
4.0,0.0,50000.0,0.249
4.0,0.0,60000.0,0.287
4.0,0.0,70000.0,0.354
4.0,0.0,77000.0,0.45
4.0,4.0,0.0,0.191
4.0,4.0,20000.0,0.197
4.0,4.0,30000.0,0.207
4.0,4.0,40000.0,0.225
4.0,4.0,50000.0,0.25
4.0,4.0,60000.0,0.289
4.0,4.0,70000.0,0.355
4.0,4.0,77000.0,0.451
4.0,8.0,0.0,0.198
4.0,8.0,20000.0,0.204
4.0,8.0,30000.0,0.214
4.0,8.0,40000.0,0.231
4.0,8.0,50000.0,0.256
4.0,8.0,60000.0,0.295
4.0,8.0,70000.0,0.36
4.0,8.0,77000.0,0.456
4.0,12.0,0.0,0.209
4.0,12.0,20000.0,0.214
4.0,12.0,30000.0,0.224
4.0,12.0,40000.0,0.241
4.0,12.0,50000.0,0.266
4.0,12.0,60000.0,0.303
4.0,12.0,70000.0,0.368
4.0,12.0,77000.0,0.461
4.0,16.0,0.0,0.223
4.0,16.0,20000.0,0.228
4.0,16.0,30000.0,0.238
4.0,16.0,40000.0,0.254
4.0,16.0,50000.0,0.278
4.0,16.0,60000.0,0.315
4.0,16.0,70000.0,0.377
4.0,16.0,77000.0,0.469
4.0,20.0,0.0,0.239
4.0,20.0,20000.0,0.245
4.0,20.0,30000.0,0.254
4.0,20.0,40000.0,0.27
4.0,20.0,50000.0,0.294
4.0,20.0,60000.0,0.329
4.0,20.0,70000.0,0.39
4.0,20.0,77000.0,0.479
5.0,0.0,0.0,0.156
5.0,0.0,20000.0,0.163
5.0,0.0,30000.0,0.172
5.0,0.0,40000.0,0.188
